author.username,content
author2,If anyone is unsure of what one of the options means let me know
author1,knew it
author1,please get out of my walls
author2,||Spoilers: They're in your walls||
author2,Neither is Fable
author1,im not even in charlotre
author6,Can confirm I can currently hear oli shooting up heroin
author2,you should take it off
author2,They're in your skin
author2,I think you are on drugs
author1,did you just @ or is my discord hallucinating
author2,You don't necessarily need to want to play in whatever it turns into. Just collecting info.
author2,Campaign Interests
author2,If I did it was not on purpose
author6,idk if this is something you did or if I somehow did it but these started filled in
author2,I love when maybe 100%
author2,"No it probably wouldn't
- I won't be on campus anymore in a month
- I like foundry
- There are a lot more online people"
author13,"Since I'm not on campus anymore, is it gunna be in-person? If it is, obviously I wouldn't be able to join. Figured I'd ask."
author2,You don't necessarily need to want to play in whatever it turns into. Just collecting info.
author2,"I feel like this is at a good point now so if anyone feels like it
https://forms.gle/ucNee2zA6Cd3QSKh9"
author1,it's like 12 comments in a row
author1,"no i like him, but every single comment under the post says the exact same thing"
author4,Yeah Irori ain't boring he just doesn't do much
author6,Don't you talk shit about him he is perfect
author1,"i love how everyone in that thread has the same comment: ""damn, the ||boring|| one survived"""
author4,||Irori|| wildin in this one
author2,checks out
author2,reincarnation and amnesia should be added
author2,I plan on it once I finish one other campaign that has been on my plate for a while
author13,Are you making a new campaign?
author6,Languages (wait I'm stupid I had no idea what the question was)
author2,like magical girls lmao
author2,so everyone has like a better familiar or something
author2,The fun thing I was thinking of was like all the way up on prevalent and all the way down on power
author2,"How prevalent are gods
How powerful are they
How religious are people"
author2,This ended up becoming 3 scales
author2,"If anyone has the time could they look at this and let me know if they think anything is missing
https://forms.gle/ndYSdS3ryvDPyyhe8"
author2,That goes hand in hand with the civilization scale
author13,Flora / Fauna levels. Like how intense they are in areas.
author13,Myths and legends maybe
author2,I will do a scale for that one
author13,Religions is an easy one
author2,Right now I have post-apocalyptic and super heroes
author2,"what are some setting traits that are not related to amount of magic, amount of civilization, or time period"
author2,I am happy to once again be able to watch a video and use foundry
author2,timeout is pretty epic
author4,"Oliver was requested I pass along:
""You are a stinky poopoo baby head"""
author2,Oliver has been timed out
author4,Tristin is in fact the April Fool
author6,And either way this is probably another divinity
author2,and the points he made in the video made sense
author2,Just got out of the car ride
author2,I see
author6,Do you have it
author4,Its 4/1
author2,What I saw
author6,I remember them saying their next thing was going to be non-DnD
author4,"I thought that was just a rumor?
If it confirmed"
author2,Apparently people who made Baldurs gate are gonna make a pf crpg
author4,Gorgar in space
author6,tmw the leshy is a space fungus
author2,There are things you guys have interacted with already
author2,Said it a couple times
author13,Oh 100%. I'm already prepping a sci-fi setting for my other group i play with. Since they wanted to try new starfinder once it's out as well. We tried dnds Spelljammer but it was too magic-y for sci fi.
author4,That is true but it's hard for me to prep stuff if I'm not super feeling ity
author13,"I love sci fi. But it's also easy as hell to homebrew. Just new stations, planets, factions, etc."
author4,"If I ran Starfinder it would def be in the base setting
I'm not a huge sci-fi guy but I may run one-shot stuff here and there"
author4,Would be news to me
author6,IIRC didn't tristin say he's planning to include starfinder 2e in the westmarch world
author13,Yes. Please.
author4,Ok boys we gonna fiddle with the playtest when it releases?
author4,I see
author2,My desktop discord has something where I get combo for each letter I type
author4,A what
author2,I got a fuckin combo breakers on discord
author2,wah steam is buggin rn so I cant see it
author4,Tristin fiending rn I'm sure
author4,I get force tho cause like nothing is immune to force
author4,Blood bender here we go
author2,I think you could reflavor wood as bone and just flip vitality to void
author2,also spirit but that is understandable
author2,only ones that are missing are like void and force which were basically their own kin in 1e
author2,"all physical, cold, acid. electric. fire, poison, vitality"
author2,Yeah wood gets vitality
author4,Can they do positive?
author2,I feel like there should be a way 2e kin can do void
author4,Idk if hed go for that one lmfao
author4,Apparently he played through the Choral stuff as well
author2,Invite to the west march lmao
author4,He mentioned that he was currently working on a homebrew kineticist archetype as well
author2,"had to ""nerf"" her"
author2,Nola moment
author4,"He asserted that his Earth Kineticist was ""a little much"""
author4,He has played 1e since it released evidently
author2,they play or nah
author4,Man I just had a 20min discussion with my English teacher about Kingmaker
author14,*flashbacks to Sans one shot*
author14,"I'm not sure how they compare in terms of functional complexity, but I definitely know that Bards are a lot easier to build than Clerics lmao"
author4,Ultimately depends on what my team wants to do as well since its a group thing but
author4,I think Bard if prob easiest then
author4,Prob Ranger
author2,What is 3rd class
author14,"Then you also have to explain what being Holy and Unholy does, and what affects deity choices have on your character"
author2,I don’t know the extent of the class explanations so I can’t give a great gauge
author4,Honestly I think Cleric is easiest
author4,Yeah but they have focus spells and stuff which complicates stuff
author14,With the Universalist being distinct from other wizards in terms of functionality
author14,"Because they've just got focus spells and a subclass, whereas Wizards get two subclasses, focus spells, and drain bonded item"
author14,"In the Player Core, I'd say Bard probably"
author2,Bard or wizard
author4,"In 1e it would have been sorc easily
But they are weird now"
author14,And Witch
author14,I think we can rule out Druid
author6,Prob sorc?
author4,"I want to do a caster
But I really dont know which one is easiest"
author14,"Basic classes are probably much easier to write, too"
author4,"That's so fair
This assignment was gonna be for beginners (so basic classes)
Though is people want guides for classes I'd be happy to make them"
author14,My abridged description of how the ability worked was three paragraphs long
author14,Thaumaturge would be helpful lmao
author2,all xmen movies watched
author4,"Basically gonna be 1 page each on
>Combat
>Exploration
>Social
>Character Building
>Build Fighter
>Play Fighter
>Build [Class 2]
>Play [Class 2]
>Build [Class 3]
>Play [Class 3]"
author4,Instructional Guide for my Technical Writing class
author2,what is it
author4,Me when my Pathfinder project proposal get approved
author4,Me when paizo con
author2,We will now get stuff like the dragons and prophecies automatically
author2,Pathfinder on Foundry VTT Community and Volunteer Development Server #paizo-blog
author4,That one designer that left seathing rn
author2,They can prob still look like the left but that is like the savage version
author2,also ghouls are more like vampires now which I like
author13,Gotta play genetics
author13,Custom kobold bloodlines time
author6,"1. become strong
2. get kobold edd
3. Kobold is now my child"
author4,"I see
So what you are saying is
Kobolds in hell"
author2,Which tend to be dragons
author2,Their eggs acquire traits from nearby strong creatures
author6,They are now eastern kobolds /s
author4,What is it
author2,Nah the new thing is way cooler
author2,Kobolds are officially unrelated to dragons by blood
author2,Monster Hunter
author14,"Gonna go kill Fatalis real quick, I'll get back to you all in 3 weeks"
author2,Multiple Attack Penalty
author6,Return to Salem
author2,Was having a dream that had something to do with the pf witch class and woke up to a call from Winston Salem
author2,apparently that list was in the player core
author2,all dragons btw
author13,"""What do you use as a weapon"" ""oh I just carry a trebuchet around"""
author6,I mean there is an archtype for seige weapons...
author4,In 1e a large creature could use a cannon like a gun
author13,Lmfao probably
author2,I think that'd be ruled as a siege engine
author14,"Brilliant Plan:
Step 1) Both west marches go to space
Step 2) Colonialism
Step 3) War
Step 4) Profit?"
author13,All I need to know is how strong I need to be to hold onto a ships cannons without a ship attached
author6,"It makes sense, the teleportation is space technology"
author6,Tmw the leshy is a space wizard
author14,Van Karthy mention????
author13,Third character planned to be man with biggest gun he can find
author2,like there have already been things you've seen
author2,I will say be aware that stuff is already in the works for it to appear in my west march
author2,pf2 and sf2 will be compatible
author13,"Wunna recreate my poor character from my last try at starfinder 1e, man with biggest gun he could find"
author14,My west march is getting a space expansion
author14,I think that's dropping this summer
author13,I wunna play that when it comes out
author13,Is there any news on starfinder 2e?
author1,yoo ||neyths|| safe lets go
author13,Gotta do something with it when you run out ammo
author15,once a ranged weapon always a ranged weapon
author2,dagger pistol having thrown 10ft is quite funny
author4,Observe as the other occult is a bard dragon and his edict is seducing the party
author2,some of the other traditions may be in opposition within themselves
author4,"Thats fair enough, I generally run my dragons with a tolken bend so they are more lethargic"
author2,I look forward to seeing the edicts and anathemas of these dragons
author2,than red
author2,Yeah I meant more lawful and less kill everything
author4,"All the others are intellegent enough to reason with, though they are still assholes and quick to anger"
author4,I mean the only unreasonable chromatic is white
author2,Could end up being a dynamic like the gods
author2,The diabolic seems much more reasonable than red
author4,Divine ones will be sanctified most likely so those def will fight
author2,I dont think so but unsure
author14,Or Adamantine and Horned?
author2,The article said it defends hells armies
author14,Do Mirage and Fortune counteract eachother in that way?
author4,Cause diabolic is basically red
author4,But realistically the new divine is prob gonna be more like gold
author4,Replace brass or whatever the adhd dragon was
author4,Azata dragon go crazy
author4,Other occult may be stealing bronze dragons deal since conspirator reminds me of blue
author14,Oh wait they were lawful good
author14,"And archons do stand in exact opposition to them, at least under old alignment"
author14,"That makes sense... diabolic does imply devils are involved, rather than demons"
author4,My guess is the other divine dragon is gonna be an archon type thing
author14,"I kinda hijacked that entire segment of magic in a not-so-subtle way for my West March setting, so it'll be interesting weaving it in"
author14,I'm curious to see what the other Occult one's going to be
author14,So maybe it would make sense for those two to be in opposition
author14,"Yeah, I just figured that divine magic covers both the upper and lower planes and there's the whole holy vs unholy sanctification thing going on"
author2,I meant the 2 dragon types
author14,I guess I don't know enough about pathfinder's cosmology
author2,They aren't necessarily counter parts
author14,So the other divine one should be angelic or something like that
author14,I assume that there will be two types of dragon for each magic type?
author14,I always found that little bit of design cool
author14,"There was something charming about being unable to identify the type of dragon while relying on darkvision, though"
author2,old dragons are just not gonna get mentioned anymore
author14,I like it better
author14,"In Evermore's setting, I also grouped dragons based off of type of magic"
author14,Is that replacing the old chromatic/metallic stuff or joining them?
author14,Oh new dragons?
author2,Monster core gets released 27th
author2,"Arcane: Mirage and Fortune
Primal: Adamantine and Horned
Divine: Diabolic
Occult: Conspirator"
author4,||Erastil|| dying would have been kinda sick tho this one is prob one of my favorites
author4,"All I do is win
https://paizo.com/community/blog"
author14,Oh cool!
author4,Archives could get renamed Memorial of Nethys lol
author6,"Dam, I guess they theory they were killing off nethys so they wouldn't have to update archives was false"
author4,"Also as a note
I'm pretty sure the ability on Whose Cry is Thunder can be used with a melee weapon"
author14,Oh yeah that one’s cool
author4,I like killing people in the past personally lmfao
author14,I will count my original one as close enough
author14,There are multiple spellings
author14,Oh wait
author14,Gáe Bolg apparently
author15,that'd be it
author14,Gaé Bulg?
author14,I know how to say the barbed spear out loud but can’t spell it for the life of me
author15,that's cool as fuck
author14,I forgot what the feature was called though
author14,There’s also the barbed spear thingy
author15,i heard cu chulainn
author14,Cú Chulainn moment
author14,I like all of the mythological references in the Exemplar abilities
author4,He's basically Maui
author14,That would also match with the pacific islander aesthetic of the exemplar art
author4,A lot of storm/ocean/nature stuff
author4,That's why I'm wondering Gozreh
author14,"During the reveal stream, one of the devs was very stressed about a mention of an ability involving rainbows"
author4,I've considered that
author14,I wonder if the abilities are flavored towards the god that dies
author14,Oh cool thanks
author14,I can't find the animist + exemplar playtest
author4,My man Norman Gerber gonna get outed
author4,Be like yeah the gods know now but ya'll don't
author4,My favorite part is even if they do this one they prob won't give us a name lmfao
author4,Since Arazni is getting promoted
author4,"My bets at this point is limited to
Gozreh, Iomedae, Zon-Kuthon, or Abdar"
author4,I like that we are getting alt timelines for each one tho
author14,And that kills him
author14,Or maybe Norgorbur's identity before he ascended is discovered
author4,"I think it's possible but unlikely
Would be cool tho"
author14,What's your opinion on Rovagug?
author4,Yeah that's my point lmfao
author14,It's overdone because DnD's done it 3 times already
author4,"Lmao
Nah Nethys dying would be boring
""I killed the god of magic"" is overdone
For the same reason I think Gorum is safe"
author14,"Plot twist: Nethys is dying, and they didn't give AoN access to the remaster early because they're trying to make it canon"
author4,"Itn War of the Imortals one of the core deities is getting perm killed
Paizo's been teasing it by revealing a safe deity every week or so"
author4,I have a car bomb to deactivate <@589289513788899348>
author4,WHHHHHHHHHHHHHHHHOOOOOOOOOOOO 2 for 3 baby
author6,Piercings dragon
author4,We take this W
author4,Fun fact frightful pressence effects allies
author4,<@589289513788899348> as well
author4,<@318536129727168512> ||Your death mommy is safe||
author4,"Heh you're strong Gorum, but can you match the power of Ultra Instinct"
author2,something glitched
author2,Laurena Howell
author7,me rn ^
author7,really giving Kristen a hard time aint yall
author4,Poor Tristyn
author4,Yeah unsure who he's talking about Tristun
author13,At least Tristan isn't like the people who purposefully join investigations to kill themselves and end the quest. I've had that happen before.
author7,nah you'll carry 😇
author2,3 decently powerful dudes considering he isn't in master
author7,hunt three dudes without fainting?
author2,bro is on a mission and I do not want to fuck it up for him
author4,Helping Oliver friend learn system
author4,Wouldnt want to deny them that
author4,Okay but what if the creature is suffering from warmth?
author2,That one is basically undead
author2,something like that
author2,similar to the level of the deities from rage of elements I imagine
author2,I think edicts and anathema won't be that extensive unless it is a more complex creature as well
author4,"Thats fair
Generally Id prefer to have both though"
author1,i don't like meat gaurdians as a concept
author4,He he skinskitter
author2,I just looked it out of interest a few minutes ago
author2,2e non N mindless (that aren't undead) btw
author2,and flavor the rest of the character
author2,When I use those statblocks I usually just use them for stats
author2,Since a lot of npc creatures come from APs or other material I imagine they'd end up having ideals tied to that setting
author4,"""I like money""
""I dislike not having your money"""
author1,i think you'll find the level 1 rogue has very enlighteneing ideals surrounding his place in the world
author4,"Yeah and thats my main issue with it
I cant go look at the rogues stat block and see if hes a prick or not
I have to skim a paragraph about his ideals"
author2,That is a much more case by case basis
author2,I doubt they will tie edicts/anathema to humanoid traits (if tie them to traits at all)
author4,Which I dont think any useful info would be gleaned from the human trait
author4,The vast majority of my monsters are also humanoids though tbf
author1,i could solo him
author2,This guy kinda sick
author2,That could also be a case of player metagaming
author2,In the case of monsters its overarching so I think it is flexible to say these ones don't do that
author4,Fair but that feels like a different kind of limitation that rules lawyers will take to seriously
author2,like blink dogs for example
author2,I would really appreciate it being easier to know what other monsters are enemies or allies
author2,"Tactics yes, but things like mortal enemies or allies usually aren't present (unless it got something like child scent)"
author4,The wikis and descriptions are usually more supplemental
author4,I mean generally I feel you can get a good feel for monster tactics from theirs stats/abilities
author4,"In 1e at least there are several non undead mindless creatures that are evil
Usually cursed stuff but"
author2,did that a few times last night
author2,right now for some monsters you have to comb through a description and the wiki to get a good feel
author2,The system can def make it easier
author4,I mean if interactions with enemies boring thats on the Dm and/or players frankly
author2,That is the case right now though. Since most mindless (not undead) are grouped under N
author4,"That is another complaint Id have
Cause sure I know how a spider or centipede behaves
But how exactly am I do determine how a black pudding or another creature Ive never seen behaves"
author2,and could make interactions more interesting
author2,"I do think it may be a bit more complicated for pulling things out on the fly, but when prepping it would make understanding motives and goals easier"
author2,I'm saying that in general not a response to anything'
author2,Will also have to wait and see if mindless stuff even gets them
author4,You say that to the guy who has the check undead traits weekly
author2,I think if this were the case it'd be like that at first but you'd eventually be like oh standard undead edicts got it
author4,"Id say its alright
But 2 letters is a lot quicker reference for Joe Shmoe the average rogue than having to check all the traits and read the description to get a feel for that"
author2,in most cases just based off a monsters description
author2,I think alignment is so basic that it can be understood without it actually existing
author2,but it'd be a good guideline similar to alignment
author2,and then some monsters may have stuff saying they don't follow those exactly
author2,"I think the best outcome might be tying some edicts and anathema to traits like undead, unholy, holy, etc"
author2,I'd have to wait and see how it looks in monster core
author15,Big agree
author4,Opinion alignment is better for (most) monsters. Edicts and Anthema are only really better for players.
author2,checks out
author4,They call
author4,The numbers
author6,In the first paragraph you did not replace severed
author2,That way something like flanking doesn't fully negate it
author2,bumping AC thing by 1
author15,good idea
author2,Added stuff about healing
author15,"and under limb, specifiy the limb"
author15,"limb, eye, jaw would be three good targets for that"
author4,May also wanna do the jaw thing cause you could add eyes as something to target
author2,I'll change it to Maimed then
author4,Severed kinda indicates you fully lost the limb
author15,that'd work better
author2,Nah I'll change the target to jaw
author4,May wanna change term from severed then
author2,It isn't actually severed. Just the general term for the effect. If it auto kills I'd prob have to make it be more vp than the others
author4,No head prob = dead no?
author16,ive always heard charisma casting as being enforcing your will upon the world
author4,No charisma casting is more your conviction
author6,Isn't force of will literally what charisma casting is?
author4,"He seems more Wisdom based with a strong presence
Calls his spells more from force of will than though charm or faith"
author15,he's definitely a charisma caster
author15,ill take gandalf being a paladin
author16,dude could throw hands
author16,gandalf is a paladin
author4,"However I would still argue cleric fits better as Gandalf isnt really a full caster
He typically engaged in melee in a way typical fantasy clerics are portrayed"
author16,(also very apparent with how 5.5e immediately took that idea lmao)
author16,particularly with how some classes can access different lists depending on subclass
author16,the new way spells are categorized is great
author16,drawn from class specific lists
author4,Yeah and your spells were still arcane
author16,"1e Celestial Bloodline didn't give the entire cleric spell list (since they worked differently), but it did give 9 spells from it"
author16,gets the divine spell list
author4,Cause bloodline didnt change spell type in 1e
author16,Angel Bloodline sorcerer
author4,Im like 90% sure it isnt in 2e unless its some weird archetype
author16,"it also exists in dnd5e, and pf1e"
author4,"That is a thing that exists in 2e (which I forgot about)
I was just being more general in tabletop"
author16,though I think a divine sorcerer would fit just a bit closer
author16,i agree with the cleric assessment
author16,he's definitely not a bard
author15,i argue bard
author4,"Opinion
Gandalf would be stated a cleric not a wizard, his magic is divine in nature"
author2,yeah in the abyss
author4,I also used to be able to see wasteland but that is now banished as well I presume
author4,And I can peer into the edges of the abyss
author4,My favorite
author2,you and fable can see most of it other than the abyss
author2,no I just like to limit it
author2,west march request and groovy
author4,Wait are you at max channel count
author4,Which 2?
author2,I deleted two channels yesterday so now I get to add one for this 🙂
author2,"Was originally thinking weapons would be like 
Tier of weapon similar to attack bonus rune
and tier of material/crystal or whatever is damage rune
but seeing as that seems to have not worked out well with pf2 and a lot of people thinking abp is default
I think I'm gonna do tier of weapon like special material
and material/crystal as like property runes"
author2,I did savvy cause I also liked it
author4,I kinda like Savvy
author4,"acuity is close sounding to agility
And acu may be confusing if characters have an ""ac"""
author2,I want something shorter. other 2 I see are logic and acuity
author2,savvy is nice sounding
author2,"I wanted something that covered wisdom and intelligence
I originally put mental but felt that was to vague 
Insight works in my head but I could see how it could be confused with other rpgs' version of sense motive"
author4,"Looks fine to me
Though you may need to rename insight since that typically means something else in rpgs Ive played"
author2,and me
author2,I'll pick this back up tomorrow when the crowd is better rested
author2,similar to pf but combo int and wis
author2,"thinking strength, agility, endurance, charm, insight"
author2,thoughts on the name Emberfall Requiem
author2,they said before end of december
author2,in other news Archives 😔
author2,cause balancing that shit is extra work
author2,I'm not doing standard spellcasting
author2,"and now ""magic ore"" exists"
author2,kinda thinking modern world gets a magic bomb dropped on it
author2,more magic item use
author2,but not spellcasting
author2,gonna do magic
author2,aight looks like not fallout exactly
author2,the fingers are pushing against each other. which will come out on top.
author2,I need to decide on this before I can do basically anything
author2,"Very Fallout 👉 
More Standalone 👈 
?"
author2,magic or no magic
author2,unsure. Maybe immediately if I have reloading.
author2,I think ttrpg does that automatically basically
author4,How soon do you get extra actions
author4,One action system is easier to balance but can make the game feel too simple
author13,Fallout VATS mechanic
author2,and then similar to pf2 at later levels you will get extra actions for certain things
author2,or like on action + step
author2,would a one action system be bad?
author2,how close should this be to fallout
author2,I think that'd end up being somewhat waited against the players and/or more GM intensive (dealing with EvE). I also still have some problems separate from pvp that are difficult to deal with and balance.
author17,"It doesn’t necessarily have to be pvp, you could have other groups of people built similar to players"
author2,I still want to do something with this d6 system
author2,I may transition to a fallout system
author2,You def aren't the sole reason for that decision. I've had doubts about it
author2,I don't think many people are waiting on it. I'd rather make something people'd enjoy then go further.
author13,"Nah dont be like that man, ill admit i was a little harsh. But I mean if you got players don't let me cause you to give up. But I will likely not be joining."
author2,I planned to mitigate some of those but I guess their will always some. idk if I want to continue at this point
author13,I've only played one pvp based ttrpg and that's what happened to me so I'm no expert but it was not a good feeling lol
author13,"That's why I don't like it. It can be like making a mage class and literally everyone else builds anti-mage and it's like ""damn I guess I have no fun"""
author2,fair. man
author13,"Nah it's pvp in general. Doesn't matter if it's even coin flips, it's gunna be rough if someone fails everything due to specific build counters or never being lucky."
author2,also you don't have a single character across games
author2,this isn't a d20 system which I hope may make a difference
author13,Not the biggest fan myself
author13,Pvp is hard
author4,I am unlikely to play then so my opinion is invalid lol
author2,There may be some pve type stuff but mainly pvp
author4,Is it pure pvp or
author2,Before I continue I want to ask what people want/expect from a hunger games style ttrpg?
author4,Its also not rolling cause 7 isnt touching 8
author2,Same with 4 17
author2,That also ig
author4,That dice layout is screwy shouldnt 8 and 13 be opposites
author7,is it the account pfp
author2,Anyways not that
author2,1% now
author13,2% battery charge ya damn phone
author2,Can anyone notice the thing in this image
author16,Playing a charisma trickster:
author4,Like make x npc like you and you can lich on em
author16,"Trickster does stay in the crpg though
Trickster is very funny"
author4,I think theyll hybridize it since the crpg makes it kinda gamey
author4,"Yeah in the crpg the mythic classes are more creature based Angel, Demon, Dragon, etc

The Ap has mythic paths based on character achetypes Archmage, Trickster etc"
author16,Legend is just an absolute gigachad who's just a random mortal but has a level cap of 40
author16,With the exception of Legend
author6,They are probably change mythic a lot either way to fit in more with 2e
author16,Doing certain mythic paths where you ascend as a certain type of creature (angel/azata/demon/lich) vs more standard powers
author2,but story
author2,oh idk bout rules
author16,Since iirc they way they did mythic powers changed completely between AP and crpg
author2,If it gets the kingmaker treatment it'd probably go more off the game then the 1e version
author4,+the game is pretty popular so
author16,Redeemer Queen is based
author4,I mean her backstory entry on archive is like yeah she used to be an evil mf
author16,"Yeah but it's just a bit scuffed considering how different Nocticula is in current time
Could lead to some confusion"
author2,I think kingmaker still happens at the same time doesnt it
author4,Like it can still occur in the same in game year
author4,I mean a remaster doesnt have to change the timeline
author16,The other thing that would make Wrath of the Righteous a bit difficult to remaster is the fact that pre-ascension Nocticula is a pretty major player
author2,I think the brevoy part is the main thing strapping it down
author2,you could change that though
author4,And Brevoy in general
author4,But it does have a timeline I think cause Vordekai and Armag
author4,That is valid
author4,Anyway time for some light reading on the remaster
author16,"Though kingmaker could happen at pretty much any time
Given it takes place in the Golarion Official Battle Royale Zone (tm)"
author4,I mean King got a 2e remake and Runelords has like 3 different versions so
author16,Aren't they just straight up killing a god in that one
author16,"And yeah it completely screws with the timeline but who cares
Arueshalae, my beloved"
author2,cause mythic was introduced by wotr so I'd say it be soon after if not with the rules
author4,Like Kingmaker got
author4,Yeah I think they will port it as an anniversary edition
author16,Yeah the rules would already be there
author16,Yeah but they undid that so we chill
author2,but I feel like wotr wouldn't be far behind if they add mythic
author4,Owlcat is based (except for that data scraping thing)
author2,okay yeah
author16,"A Wrath of the Righteous 2e remake is also pretty much guaranteed to be successful, considering the CRPG (owlcat, my beloved)"
author4,Cause I was hoping for a port of mythic
author4,"Hmmm
I thought you just said tgey were mythicing"
author16,I don't see anything about it
author2,it was a couple months ago
author2,I believe I sent you a message about this
author2,I think so
author4,Wrath was?
author16,Wait seriously
author2,it was announced
author16,So great time to redo WotR
author4,For the one with exemplar
author4,Though I think they are adding mythic rules
author16,I *mean*
author16,I'd love to see that
author4,I have a feeling that will be a minute
author16,I hope they do a 2e conversion of Wrath of the Righteous
author4,Plan to run it 1e
author4,Though this is the anniversary so a certain group of enemies got nerfed
author6,Probably could find a 2e conversion if you really want to
author6,"Smh, runelords should have been christmas ap beacuse they are arisen"
author4,Its also known for the most tpksI believe
author16,Oh lord
author16,Is that a 1e ap
author4,This is a threat
author2,what I was guessing to. Just covering my bases.
author16,looks like AoN font
author2,||Assuming that is archives||
author2,That is pre remaster text
author16,"i mean yeah
it is"
author4,I think this is funnier
author16,considering thats basically the replacement for evil
author16,i dont get why they didnt just use unholy
author4,"<@244474569102983168> may have some explaining to do
Cant believe he'd soil the wholesome of our sessions with his summons"
author4,I think they just went to a thesaurus and picked something close to unholy
author6,Please tell me wholesome/unwholesome is now just a trait things can have
author16,interesting word choice
author4,Bad news guys zombies are in fact not wholsome 100
author2,<@458413180893397022> heads up I plan to use aid
author2,I have devised a character
author14,Because that feels fair
author14,"Ehhh Imma probably decide what I want to play first, then optimize that"
author15,"I'm not exactly sure how I'd get immunity to mental and auditory effects, but I'll try"
author14,"Oh wait, like looking at the stat block?"
author14,She deserves no mercy
author14,I will murder Mariah Carey
author14,I'm building a 10
author2,"On a scale of 1-10 how much should I spec towards killing Mariah Carey
1: I build a character using none of the context
10: I am immune"
author13,Can't talk to women confirmed
author4,Careful I'll run it
author4,Uhhh yeah from what I remember that one was fine
author2,with the fountains
author2,<@458413180893397022> did you like the Caravan's gambit one?
author18,You could just make them word riddles.
author7,your a picture
author6,"This, a picture can tell a thousand words, and 1 picture is a lot easier to look at than 1000 words"
author2,I think more visuals are needed if they are gonna be difficult
author4,"Counter point
I think we both suck at writing puzzles lol"
author2,I think I understand fully why kindergarten puzzles are used in ttrpgs. Any time we try to do anything harder people start tweaking and disassociating.
author2,I dont drink soda anymore. I guide others to a treasure I cannot posses.
author2,Checks out
author4,That is a threat
author4,Tristin gonna satiate both his Dr Pepper and Dice addictions at once lmao
author6,That is on the fine line between a good and a terrible idea
author19,I'll look over all the resources once I get home
author2,49er role has been created for those in charlotte
author2,was wastelander
author2,<@&1020589184437714995> it has been done
author2,I've got the server down to 40ish channels so far
author14,Hello there!
author6,Presumably to replace the one they are killing off
author6,They made another one of arodens fuckers into a core diety
author4,Guilds/Businesses and Dungeons
author2,If I allow purchasing property what kind of buildings/roles would you be interested in?
author4,Everyone knows communisim makes any song 50% better
author4,Ah kobold bards must throw down then
author18,Also wouldn't that mean than Native Americans where proto communist?
author18,Ah makes sense.
author6,I pulled a big stupid and slept at like 6pm
author18,Why are you up at 2am on a Monday?
author6,"""Kobolds practice a primitive form of proto-communism"""
author6,<@458413180893397022> this was in the playtest for the new classes they just released
author4,I still believe Cleric and Druid are the best classes in the game meta wise though
author4,Yeah but at high level I think barb and fighter beat it out
author2,The champion is still cracked
author4,The reanimated medium was a cool concept
author4,Had my favorite archetype in 1e
author4,"No it was kinda mid meta wise
But really fun mechanically"
author13,I've never looked into playing it seriously.
author13,"I feel like I personally would love the animist as you explained it, but it is a shame medium is somewhat missing still. Was it badly balanced in 1e or something?"
author2,"Watching the stream back
Animist seems like between summoner and sorcerer
They also are talking about medium
They are telling lies about the medium
The champion spirit could diff a fighter at least at low level"
author13,Oh thats somewhat cool.
author13,Oh fair I guess that could be it
author13,Animism and whatnot is all I know related to that word
author2,Animist seems like medium which is my favorite 1e class
author13,Like soul magic?
author13,What the hell is animist
author20,Splendid thank you
author2,That’s the next thing
author2,Check out west march channel at very top
author20,What should i do about this
author20,Gamers i would like to no longer be absent
author18,https://youtu.be/7pdjd5T3eUU this looks fun.
author18,Just checked I still have it on hope they fix it soon.
author7,"i mostly do it to use any emoji anywhere <a:PenguinDance:779731073004339220> 
but the other stuff is cool <:shrug:858187229779460116>"
author7,oh yeah i forgot about that
author6,"It's still hidden in there, but it doesn't look like it really works anymore
If you want to check it out you just have to tap dark mode in the settings like 10 times and it should appear"
author18,Imagine paying for discord.
author7,imagine not using mars 😔
author2,Looks like they removed it
author4,There was a black?
author18,Did discord remove the black apperance setting cant find it anymore. And my screen is in regular dark mode now just changed on me today.
author2,It sounds like with the 2es it will be easier
author2,Some but it would def take some work to cross over
author13,"Certain rules carried over I thought, but I could be wrong. Sorry then haha"
author4,I dont think it was outside of being 3.5 edition based
author2,No sf1e was like half way between 1e and 2e pf
author4,Maybe they are gonna release an Ap with some time travel chicanery
author13,With pf1e
author13,Thats how starfinder 1e worked too I believe
author7,I was trying to send the monocle and had a spasm
author2,Apparently pf2e and it will be cross compatible
author13,If 2e allows me. I shall do the same
author13,"I played starfinder 1e twice, and I just went for the biggest gun I could both times"
author1,"i would be so down, it sounds awesome"
author4,Maybe we can actually try this edition <@318536129727168512> lmao
author13,"Oh fuck, a new starfinder? Hell. Yes."
author4,Kingmakers been spoiled
author4,Mikmak no 😭
author2,It’s cause both always die in horrible ways and never of old age
author13,Quite the controversial topic to say out of the blue
author2,Kobolds are like hamsters
author13,Plus it'll open more potential for goals and such
author2,creates more objectives
author2,I think the scarcity will honestly add some fun
author4,Fair changes
author1,"hey, so this may or may not interest some people, but i found out there's a tabletop shop in waynesville now. it's called katmandu games, and it was pretty cool whenever i ran by today. you can host games there for free and use some of their stuff like maps and terrian, and they have events and stuff on a schedule every week. it's right next to the mountain eye near walmart. here's their website, they have a discord too.
https://www.katmandugames.com/"
author4,Guess they liked Critical Roll lmao
author2,Seems relevant since John wick 4 just came out
